"Label (Grouping)","Albemarle County, Virginia!!Estimate","Albemarle County, Virginia!!Margin of Error","Arlington County, Virginia!!Estimate","Arlington County, Virginia!!Margin of Error","Augusta County, Virginia!!Estimate","Augusta County, Virginia!!Margin of Error","Bedford County, Virginia!!Estimate","Bedford County, Virginia!!Margin of Error","Chesterfield County, Virginia!!Estimate","Chesterfield County, Virginia!!Margin of Error","Fairfax County, Virginia!!Estimate","Fairfax County, Virginia!!Margin of Error","Fauquier County, Virginia!!Estimate","Fauquier County, Virginia!!Margin of Error","Frederick County, Virginia!!Estimate","Frederick County, Virginia!!Margin of Error","Hanover County, Virginia!!Estimate","Hanover County, Virginia!!Margin of Error","Henrico County, Virginia!!Estimate","Henrico County, Virginia!!Margin of Error","James City County, Virginia!!Estimate","James City County, Virginia!!Margin of Error","Loudoun County, Virginia!!Estimate","Loudoun County, Virginia!!Margin of Error","Montgomery County, Virginia!!Estimate","Montgomery County, Virginia!!Margin of Error","Prince William County, Virginia!!Estimate","Prince William County, Virginia!!Margin of Error","Roanoke County, Virginia!!Estimate","Roanoke County, Virginia!!Margin of Error","Rockingham County, Virginia!!Estimate","Rockingham County, Virginia!!Margin of Error","Spotsylvania County, Virginia!!Estimate","Spotsylvania County, Virginia!!Margin of Error","Stafford County, Virginia!!Estimate","Stafford County, Virginia!!Margin of Error","York County, Virginia!!Estimate","York County, Virginia!!Margin of Error","Alexandria city, Virginia!!Estimate","Alexandria city, Virginia!!Margin of Error","Chesapeake city, Virginia!!Estimate","Chesapeake city, Virginia!!Margin of Error","Hampton city, Virginia!!Estimate","Hampton city, Virginia!!Margin of Error","Lynchburg city, Virginia!!Estimate","Lynchburg city, Virginia!!Margin of Error","Newport News city, Virginia!!Estimate","Newport News city, Virginia!!Margin of Error","Norfolk city, Virginia!!Estimate","Norfolk city, Virginia!!Margin of Error","Portsmouth city, Virginia!!Estimate","Portsmouth city, Virginia!!Margin of Error","Richmond city, Virginia!!Estimate","Richmond city, Virginia!!Margin of Error","Roanoke city, Virginia!!Estimate","Roanoke city, Virginia!!Margin of Error","Suffolk city, Virginia!!Estimate","Suffolk city, Virginia!!Margin of Error","Virginia Beach city, Virginia!!Estimate","Virginia Beach city, Virginia!!Margin of Error"
"Total:","102,175","±1,275","233,464","±1,207","70,290","±2,184","78,236","±556","347,984","±1,572","1,136,115","±2,479","70,947","±256","87,865","±588","105,886","±699","327,970","±988","75,799","±832","411,162","±1,194","88,935","±2,313","464,334","±1,973","91,835","±981","80,111","±629","135,189","±686","148,352","±1,557","66,366","±983","157,636","±1,011","238,736","±1,912","129,153","±1,420","72,374","±1,431","170,897","±2,490","217,451","±3,141","90,257","±2,043","219,742","±2,539","97,441","±601","91,512","±375","440,582","±2,109"
"    Under .50","3,578","±1,509","11,742","±3,451","2,165","±1,128","2,508","±1,166","8,438","±2,204","31,912","±5,926","2,217","±1,261","3,238","±1,503","2,139","±925","12,987","±3,810","2,046","±1,234","8,008","±2,981","15,683","±3,635","13,822","±4,208","3,281","±1,538","2,738","±1,233","3,913","±1,846","4,743","±1,667","1,800","±852","6,664","±2,608","7,454","±2,715","8,636","±2,875","4,632","±1,831","14,031","±3,139","19,026","±3,515","8,282","±2,616","20,798","±4,416","6,939","±2,356","3,410","±1,501","13,043","±3,182"
"    .50 to .74","1,292","±655","3,383","±1,766","407","±354","1,620","±1,202","8,849","±3,384","12,019","±3,986","1,254","±1,481","700","±604","383","±308","8,226","±3,195","594","±449","736","±576","2,957","±964","4,825","±1,795","1,017","±698","575","±287","2,327","±1,395","1,483","±1,070","1,072","±797","2,054","±1,156","1,848","±1,292","5,390","±2,308","1,080","±464","4,894","±2,450","9,976","±3,058","3,317","±2,792","7,952","±2,140","4,729","±2,360","1,223","±748","6,487","±2,414"
"    .75 to .99","1,480","±816","4,959","±2,682","1,377","±819","2,444","±1,018","5,655","±2,484","24,210","±5,797","1,141","±612","1,199","±758","2,697","±1,429","7,910","±2,796","1,090","±685","3,745","±2,327","1,906","±1,008","10,556","±3,653","1,387","±824","2,396","±1,342","2,471","±1,046","2,594","±1,668","948","±903","4,761","±2,127","9,789","±4,107","3,803","±1,516","5,006","±2,371","6,319","±2,379","10,028","±2,841","5,724","±2,378","12,766","±3,052","8,424","±3,210","3,029","±1,985","10,309","±3,425"
"    1.00 to 1.24","2,935","±1,653","4,653","±1,782","1,648","±1,062","4,091","±2,067","9,000","±3,446","23,325","±5,529","830","±557","1,796","±935","2,441","±1,331","12,096","±4,565","1,347","±1,072","5,103","±2,593","3,665","±2,296","8,614","±3,471","1,907","±988","2,661","±1,376","3,578","±1,559","1,918","±1,093","955","±782","2,623","±1,539","8,215","±2,714","5,285","±2,058","1,464","±760","8,190","±3,264","13,796","±2,890","2,297","±1,328","11,971","±3,211","3,856","±1,629","3,008","±1,771","10,336","±3,020"
"    1.25 to 1.49","1,076","±586","1,712","±693","2,393","±1,102","4,018","±2,493","9,321","±3,078","27,234","±7,528","2,361","±1,211","3,432","±2,478","2,952","±1,774","6,916","±2,885","1,835","±1,217","10,796","±4,550","1,937","±1,253","13,019","±4,570","2,450","±1,311","4,682","±2,595","2,555","±1,229","4,642","±3,113","1,027","±912","5,156","±2,528","5,265","±2,648","5,259","±2,258","6,673","±2,781","5,730","±2,530","7,790","±2,487","4,389","±1,719","11,458","±2,780","5,541","±2,601","2,977","±1,497","14,961","±4,547"
"    1.50 to 1.74","2,288","±1,184","4,336","±1,930","2,872","±1,422","1,871","±1,257","16,690","±4,478","27,395","±5,131","1,962","±1,154","2,993","±1,475","3,040","±1,691","15,742","±4,323","1,576","±1,262","3,407","±1,386","3,279","±1,180","12,973","±4,728","4,387","±1,757","4,581","±1,793","3,754","±1,536","3,621","±2,082","1,370","±920","6,367","±2,591","10,376","±4,096","4,722","±1,716","3,131","±1,892","10,280","±4,043","10,742","±2,419","4,141","±1,846","8,731","±2,620","4,614","±2,103","3,615","±1,685","14,196","±3,696"
"    1.75 to 1.84","484","±419","3,409","±2,032","869","±548","817","±657","3,990","±1,601","8,552","±2,997","885","±626","1,344","±916","361","±250","6,498","±2,620","666","±651","2,416","±1,542","734","±600","5,786","±2,712","1,103","±777","1,440","±963","2,741","±1,491","998","±988","483","±341","1,419","±952","2,379","±1,130","2,492","±1,126","1,099","±802","6,967","±3,991","5,090","±2,324","2,059","±1,040","3,326","±1,781","562","±483","2,001","±1,120","7,300","±2,521"
"    1.85 to 1.99","3,209","±1,445","2,455","±1,400","2,676","±1,341","1,163","±733","7,023","±2,704","12,897","±4,156","522","±455","1,447","±801","681","±555","8,006","±2,484","808","±851","4,640","±2,347","2,120","±991","5,625","±2,078","2,696","±2,231","1,882","±861","3,495","±1,340","3,641","±2,398","917","±867","3,074","±2,068","3,266","±1,558","3,327","±1,625","2,423","±1,312","7,202","±3,133","7,309","±2,176","2,479","±1,613","7,146","±2,727","2,768","±1,788","2,267","±1,232","9,180","±3,753"
"    2.00 to 2.99","11,538","±2,489","17,974","±3,951","13,604","±3,148","11,355","±2,337","46,439","±6,897","98,907","±10,675","5,548","±2,266","13,326","±3,426","15,570","±3,846","46,809","±6,624","7,478","±2,507","25,716","±6,035","10,983","±2,687","56,147","±8,915","15,223","±4,032","18,299","±3,164","17,444","±3,421","17,377","±3,784","10,141","±3,567","14,871","±4,988","38,884","±6,953","23,680","±4,497","11,736","±2,807","28,858","±4,811","34,091","±3,817","14,311","±2,891","39,688","±6,944","19,787","±4,572","10,157","±2,790","68,182","±8,031"
